6,12,3,4,8,2,2,0,0,0,0,0,1,2,3,10,0,2,7,6,12,0
12,5,5,0,15,2,0,0,0,0,0,0,0,6,4,12,0,0,8,6,8,0
10,8,4,6,12,4,9,0,0,0,0,0,8,8,5,16,0,4,5,2,4,0
16,12,7,1,15,6,6,0,0,0,0,0,4,12,6,9,0,5,8,4,8,0
18,4,4,0,10,4,8,0,0,0,0,0,0,6,8,0,0,4,6,6,10,0
1,0,4,0,0,0,0,8,12,16,0,0,8,0,0,0,0,1,0,4,12,2
4,0,0,0,0,0,0,12,15,8,1,0,8,0,0,0,0,0,0,0,14,1
1,0,2,0,0,0,0,16,4,10,0,0,4,2,12,0,0,1,6,5,16,0
0,0,0,0,0,0,0,14,6,8,0,0,5,0,8,0,0,0,0,8,12,0
2,1,4,1,0,0,0,15,9,12,0,0,6,0,4,0,0,2,0,5,8,0
4,0,5,2,0,0,0,10,7,11,0,0,4,1,6,0,0,0,0,4,9,0
5,6,0,0,0,0,2,0,0,0,12,10,15,1,9,8,10,10,12,8,0,0
0,5,0,0,0,0,0,0,0,0,10,9,8,0,7,4,12,9,9,10,3,0
3,4,1,0,0,0,0,0,10,0,14,6,6,0,8,0,9,12,8,4,0,0
2,10,0,0,0,0,2,0,8,0,9,11,8,0,6,0,8,6,11,9,0,0
0,5,1,1,0,0,0,0,6,0,8,9,4,0,5,0,12,9,10,9,3,0
0,0,2,2,0,0,3,0,4,3,10,12,7,0,9,0,10,8,9,3,1,0
2,1,2,0,0,0,15,0,0,0,0,0,0,6,10,12,0,16,10,6,0,12
0,0,3,0,0,0,12,0,2,0,0,0,2,4,6,10,2,12,8,8,2,11
1,4,0,3,0,0,9,0,4,0,0,1,0,2,9,12,2,9,10,8,2,9
1,4,3,1,1,0,12,0,2,0,0,0,0,6,9,9,1,9,9,6,0,7
0,0,0,5,0,0,8,0,0,0,0,0,0,8,10,14,0,6,6,9,0,12
0,0,0,0,1,0,14,0,1,1,0,0,0,0,8,11,0,9,9,8,0,12
10,0,0,10,3,0,12,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12
12,1,2,7,3,0,19,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10
11,2,1,8,4,0,18,0,0,0,0,0,0,4,4,0,0,7,0,0,0,9
